,出表日期,stock_id,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期_x,上市日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址,交易市場,主要經營業務,上市上櫃日期
0,109/10/25,1101,台泥,－ ,水泥工業,台北市中山北路2段113號,11913502,張安平,李鐘培,黃健強,資深副總經理,賴家柔,(02)2531-7099,19501229,19620209,新台幣                 10.0000元,59414007210,0,200000000,1,中國信託商業銀行代理部,66365566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,邵志明,黃惠敏,TCC,"No.113, Sec.2, Zhongshan N. Rd.,Taipei City 104,Taiwan (R.O.C.)",(02)2531-6529,finance@taiwancement.com,http://www.taiwancement.com,上市,有關水泥及水泥製品之生產及運銷有關水泥原料及水泥製品原料之開採製造運銷及附屬礦石之開採經銷經營有關水泥工業及其附屬事業,1962/02/09
1,109/10/25,1102,亞泥,－ ,水泥工業,台北市大安區敦化南路2段207號30、31樓,3244509,徐旭東,李坤炎,周維崑,副總經理,吳玲綾,02-2733-8000,19570321,19620608,新台幣                 10.0000元,33614471980,0,0,1,亞東證券股份有限公司,02-7753-1699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,戴信維,范有偉,ACC,"30-31F., No.207, Sec. 2, Dunhua S. Rd., Da' an Dist., Taipei City 106, TaiwanTAIPEI,TAIWAN,R.O.C",02-2378-5191,service@acc.com.tw,www.acc.com.tw,上市,"水泥,水泥之半成品,水泥製品,預拌混凝土及其添加劑之生產運銷水泥原料,水泥製品原料及砂石開採及爐石粉,石灰石粉之製造運銷其他未述及之項目請參照本公司營業執照之所營事業",1962/06/08
2,109/10/25,1103,嘉泥,－ ,水泥工業,台北市中山北路2段96號,11892801,張剛綸,祁士鉅,王立心,執行副總經理,余曉芸,(02)2551-5211,19541213,19691114,新台幣                 10.0000元,7747805480,0,0,1,群益金鼎證券股份有限公司股代部,(02)2702-3999,台北市敦化南路2段97號地下2樓,勤業眾信聯合會計師事務所,虞成全,張耿禧,CHC,"No.96, Sec. 2, Zhongshan N. Rd., Zhongshan Dist.Taipei City 10449, Taiwan (R.O.C.)",(02)2511-4002,ir@chcgroup.com.tw,www.chcgroup.com.tw,上市,水泥、生產、銷售,1969/11/14
3,109/10/25,1104,環泥,－ ,水泥工業,台北市南京東路二段125號10樓,7568009,侯博義,侯智升,楊宗仁,副總經理,詹志鴻,02-25077801,19600321,19710201,新台幣                 10.0000元,6536091920,0,0,1,華南永昌綜合證券(股)股務代理部,02-27186425,﹝105﹞台北市松山區民生東路四段54號4樓,勤業眾信聯合會計師事務所,楊朝欽,郭麗園,UCC,"10th F1., 125 Nanking E.Rd Sec. 2,Taipei Taiwan",02-25075870,ucc@ucctw.com,www.ucctw.com,上市,水泥原料熟料及水泥製品原料之開採製造生產運銷石膏板及其原料生產加工運銷，裝潢工程設計安裝前各項有關產品之進出口代理銷售業務,1971/02/01
4,109/10/25,1108,幸福,－ ,水泥工業,台北市松江路237號15樓,40601248,陳兩傳,陳兩傳,溫秀菊,財務部經理,陳一誠,25092188,19740507,19900606,新台幣                 10.0000元,4047380490,0,0,1,永豐金證券股務代理,2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,黃海悅,陳招美,LUCKY CEMENT,"15TH FL.,NO.237,SUNG KIANG RD.,TAIPEI,TAIWAN,R.O.C.",25048672,"wendy@luckygrp,com.tw",www.luckygrp.com.tw,上市,有關水泥及水泥製品之工業及相關事業,1990/06/06
5,109/10/25,1109,信大,－ ,水泥工業,台北市寶慶路37號7樓,3279507,楊智雄,楊大寬,吳連富,副總經理,朱萍,(02)23816731,19640315,19911205,新台幣                 10.0000元,3419578680,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北巿重慶南路一段83號5樓,資誠聯合會計師事務所,賴宗羲,徐明釧,HsingTa,"7TH FL.,No.37 Pao Ching RoadTaipei Taiwan R.O.C.",23314086,service@hsingta.com.tw,www.hsingta.com.tw,上市,有關水泥及水泥製品之生產及運銷,1991/12/05
6,109/10/25,1110,東泥,－ ,水泥工業,高雄市前金區五福三路21號4樓之1,83078600,陳敏斷,吳長直,黃薪翰,財務部經理,唐榮宗,07-2711121,19561228,19941022,新台幣                 10.0000元,5720007970,0,0,1,元大證券股份有限公司,02-25865859,台北市承德路三段210號地下室1樓,國富浩華聯合會計師事務所,蔡淑滿,李青霖,TUNA CEMENT,"NO.21 Wu Fu 3 RoadKaohsiung, Taiwan, R.O.C.",07-9505895,southeast@secement.com,www.southeastcement.com.tw,上市,(1)水泥製造與買賣(2)石灰石之開採及銷售(3)水泥加工製品及預拌混凝土之製造及銷售(4)廠房及大樓出租業(5)廢棄物處理業,1994/10/22
7,109/10/25,1201,味全,－ ,食品工業,台北市松江路125號,11347802,陳宏裕,張教華,黃國禎,財務長,陳盟元,(02)25065020,19530922,19620209,新台幣                 10.0000元,5060629140,0,0,1,元大證券股務代理部,(02)25865859,台北市大同區承德路3段210號地下一樓,資誠聯合會計師事務所,吳郁隆,黃世鈞,WEI CHUAN,"10F., No.125, Sung Chiang Rd.Taipei, Taiwan, R.O.C.",(02)25063182,service@weichuan.com.tw,http://www.weichuan.com.tw,上市,食品製造及販賣,1962/02/09
8,109/10/25,1203,味王,－ ,食品工業,台北市中山北路二段79號5樓,7067309,陳清福,陳恭平,魏璟雄,經理,李兆弘,(02)25717271,19590704,19640824,新台幣                 10.0000元,2400000000,0,0,1,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號地下2樓,大中國際聯合會計師事務所,林寬照,溫明郁,VE WONG,"5TH FL., 79 CHUNG SHAN N. RD., SEC.2TAIPEI TAIWAN",(02)25811006,wei@vewong.com.tw,http://www.vewong.com,上市,味精.醬油.罐頭.調理速食品.飲料等製造及營銷有關進出口業務洋菸酒類及飲料之進口及經銷汽車檢驗及修理,1964/08/24
9,109/10/25,1210,大成,－ ,食品工業,台南市永康區蔦松二街三號,73008303,韓家宇,莊坤炎,周叔恆,特助,夏銜譽,06-2531111,19601228,19780520,新台幣                 10.0000元,8273390860,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號六樓,安侯建業會計師事務所,鍾丹丹,陳眉芳,GREATWALL,3 NIAOSUN 2TH STREETYONGKONG TAINAN CONTY TAIWAN,06-2534596,john@greatwall-group.com,http://www.dachan.com,上市,飼料大宗油脂肉品,1978/05/20
10,109/10/25,1213,大飲,－ ,食品工業,新北市三重區重陽路三段99號10樓,35012903,王鎮民,王鎮民(兼),王鎮民,董事長,洪松輝,(02)2982-0061,19650724,19810410,新台幣                 10.0000元,566226270,0,0,1,大西洋飲料股份有限公司,(02)2982-0061,新北市三重區重陽路三段99號10樓,南台聯合會計師事務所,丁澤祥,蔡玉琴,N,"10F,99,Sec.3,Chung Yang Road,San Chung City,Taipei Hsien,Taiwan,R.O.C.",(02)2984-1154,c5012903@ms23.hinet.net,http://applesidra.com.tw,上市,製造蘋果汽水礦泉水及各種汽水飲料等之批發經銷各國及國內有關飲料之產品副產品加工產品百貨批發,1981/04/10
11,109/10/25,1215,卜蜂,－ ,食品工業,台北市松江路八十七號十七樓,36514783,鄭武樾,許瑞通,劉明哲,特別助理,謝筱芬,02-25077071,19770822,19870727,新台幣                 10.0000元,2679909980,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段八十三號五樓,資誠聯合會計師事務所,林一帆,翁世榮,CPE,"17F., 87 Sung Chiang Road,Taipei, Taiwan 104",02-25064137,service@cptwn.com.tw,http://www.cptwn.com.tw,上市,各種飼料生產加工配製銷售進口及買賣各種禽畜育種、電動屠宰業務及各種禽畜加工品製品銷售各種肉類加工品與調理食品及蛋品生產銷售等業務,1987/07/27
12,109/10/25,1216,統一,－ ,食品工業,71001台南市永康區中正路301號,73251209,羅智先,黃釗凱、李清田,陳國煇,財務長,涂忠正,(06)253-2121,19670825,19871228,新台幣                 10.0000元,56820154210,0,0,1,統一綜合證券(股)公司股務代理部,(02)2746-3797,10570台北市松山區東興路8號統一大樓地下室一樓,資誠聯合會計師事務所,林姿妤,林永智,UNI-PRESIDENT,"No.301, Zhongzheng Rd., Yongkang Dist.,Tainan City 71001, Taiwan (R.O.C.)",(06)253-2661,jlian@mail.pec.com.tw,https://www.uni-president.com.tw,上市,食品事業、便利商店事業、流通事業包裝容器事業、食糧事業、油品事業其他(製藥事業、休閒開發事業、物流事業等),1987/12/28
13,109/10/25,1217,愛之味,－ ,食品工業,嘉義縣民雄鄉工業二路11號,65534366,陳冠翰,陳志展,陳冠翰,董事長,陳志展 陳建華 蕭宏基,05-2211521-4,19710626,19891028,新台幣                 10.0000元,4945133360,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號地下二樓,國富浩華聯合會計師事務所,蔡淑滿,李青霖,AGV,"NO.11,Kung Yeh Second Rd.,Min Hsiong Industrial ZoneChiayi Hsien,Taiwan",05-2216287,YUEHCHU@mail.agv.com.tw,www.agv.com.tw,上市,食品,1989/10/28
14,109/10/25,1218,泰山,－ ,食品工業,彰化縣田中鎮興工路6號,59661701,詹逸宏,詹景超,劉韋辰,經理,彭碧珍,04-8742211,19501026,19891111,新台幣                 10.0000元,4999990380,0,0,1,元大證券股份有限公司,02-25865859,台北市承德路三段210號B1,安侯建業聯合會計師事務所,曾國禓,陳宗哲,TAISUN,"No.6, Xinggong Rd., Tianzhong Township.Changhua County 520, Taiwan (R.O.C.)",04-8758989,taisunir@taisun.com.tw,www.taisun.com.tw,上市,各種食用油脂之精製及批發零售.各種清涼飲料.冷凍調理食品各種禽畜魚類飼料之加工製造及買賣,1989/11/11
15,109/10/25,1219,福壽,－ ,食品工業,台中市沙鹿區沙田路45號,56192402,洪堯昆,洪碩嬪,王四全,特助,陳祺炆,04-26362111,19550207,19901201,新台幣                 10.0000元,3220138870,0,0,1,凱基證券股份有限公司,02-23892999,100台北市重慶南路一段2號5樓,群智聯合會計師事務所,呂松裕,陳芓&#20227;,FWUSOW,"45,Sha-Tyan,Sha-LuTaichung Taiwan R.O.C",04-26358452,fwusow@fwusow.com.tw,www.fwusow.com.tw,上市,配合飼料食用油脂有機肥料,1990/12/01
16,109/10/25,1220,台榮,－ ,食品工業,台北市中山區南京東路二段206號6樓,3543210,陳維恭,陳英凱,陳玉能,副總經理,黃棣楨,(02)2506-9521,19690313,19911120,新台幣                 10.0000元,1770779440,0,0,1,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,立本台灣聯合會計師事務所,陳玉芳,陳怡琳,TAIROUN,"6TH FL. NO. 206.  NANKING E. RD., SEC. 2Taipei,Taiwan,ROC",(02)2507-7020,glen6572@tairoun.com.tw,http://www.tairoun.com.tw/,上市,飼料製造販賣果糖製造販賣玉米澱粉製造販賣,1991/11/20
