stock_id,date,開盤價,收盤價,最低價,最高價,成交股數,成交金額
0050,2022-03-18,136.6,136.1,135.5,136.6,12975464,1765126941
0051,2022-03-18,59.55,59.4,59.25,59.6,70677,4202783
0052,2022-03-18,125.95,125.8,124.85,125.95,309019,38737944
0053,2022-03-18,65.25,65.5,65.25,65.6,4075,266713
0054,2022-03-18,30.16,30.24,30.16,30.33,8000,241530
0055,2022-03-18,25.82,25.83,25.77,25.95,1206808,31251188
0056,2022-03-18,34.03,33.9,33.8,34.03,8153964,276055374
0057,2022-03-18,95.2,95.05,94.75,95.35,44054,4182632
0061,2022-03-18,20.43,20.25,20.08,20.43,222627,4504215
1101,2022-03-18,48.1,48.95,48.1,48.95,31706672,1543567101
1102,2022-03-18,48.05,47.9,47.85,48.2,11671801,559675414
1103,2022-03-18,20.5,20.95,20.5,20.95,889800,18465261
1104,2022-03-18,21.3,21.25,21.05,21.3,267969,5670136
1108,2022-03-18,11.85,11.8,11.75,11.9,128117,1511315
1109,2022-03-18,20.4,20.3,20.25,20.4,214383,4359543
1110,2022-03-18,20.3,20.5,20.25,20.5,2360669,48084412
1201,2022-03-18,21.95,21.85,21.65,21.95,723586,15771522
1203,2022-03-18,33.7,33.2,33.2,33.7,5956,199084
1210,2022-03-18,53.1,52.5,52.5,53.3,2329574,122855198
1213,2022-03-18,7.67,7.65,7.65,7.67,5002,38285
1215,2022-03-18,81.6,81.9,81.6,82.4,566652,46495872
1216,2022-03-18,65.5,65.5,65.3,65.7,12565519,822646225
1217,2022-03-18,10.8,10.9,10.75,10.9,1418037,15352136
1218,2022-03-18,28.0,27.9,27.65,28.1,135445,3784880
1219,2022-03-18,20.1,20.0,19.95,20.1,326196,6525365
1220,2022-03-18,16.5,16.5,16.3,16.5,177675,2917669
1225,2022-03-18,58.7,58.4,58.3,59.9,63012,3696015
1227,2022-03-18,49.0,49.55,48.9,49.75,1916941,94734992
1229,2022-03-18,63.4,62.1,62.1,63.6,4859972,304037931
1231,2022-03-18,81.4,81.2,80.5,81.4,261900,21226202
1232,2022-03-18,157.0,156.5,155.5,157.0,21127,3309316
1233,2022-03-18,33.8,33.85,33.75,33.95,17000,575250
1234,2022-03-18,35.45,35.2,35.0,35.45,49343,1735846
1235,2022-03-18,43.75,43.75,43.75,43.75,2023,88512
1236,2022-03-18,27.3,26.7,26.45,27.3,115053,3072877
1256,2022-03-18,299.5,300.0,297.0,300.0,19246,5743088
1301,2022-03-18,107.5,106.0,105.5,107.5,13251075,1405892415
1303,2022-03-18,91.7,91.3,91.3,92.8,17502179,1605911206
1304,2022-03-18,29.0,29.0,28.95,29.4,4785957,139366355
1305,2022-03-18,34.95,34.7,34.6,35.0,2269480,78894644
1307,2022-03-18,20.45,20.1,20.1,20.45,35155,711353
1308,2022-03-18,38.4,38.45,37.95,38.5,4812406,184280469
1309,2022-03-18,33.55,33.85,33.55,33.95,465002,15739811
1310,2022-03-18,17.2,17.0,17.0,17.25,798501,13657498
1312,2022-03-18,26.8,26.55,26.55,26.85,2693606,71879274
1313,2022-03-18,19.15,19.15,19.05,19.25,3263863,62518327
1314,2022-03-18,12.0,12.0,11.95,12.1,13176661,158590980
1315,2022-03-18,84.0,83.9,83.8,84.0,12968,1087456
1316,2022-03-18,20.3,20.55,20.05,20.6,3401298,69200405
1319,2022-03-18,32.0,31.45,31.45,32.1,1017102,32245782
1321,2022-03-18,34.15,34.1,34.1,34.25,37240,1272184
1323,2022-03-18,35.95,36.1,35.95,36.15,38600,1391813
1324,2022-03-18,11.25,11.2,11.2,11.25,12006,134720
1325,2022-03-18,40.5,40.15,39.65,40.5,413430,16618530
1326,2022-03-18,80.5,79.9,79.7,80.8,6995527,559563337
1337,2022-03-18,6.8,6.76,6.74,6.81,186788,1266205
1338,2022-03-18,58.2,58.3,57.7,58.5,391124,22696662
1339,2022-03-18,34.0,34.3,34.0,34.35,18729,640986
1340,2022-03-18,10.35,10.4,10.3,10.45,109203,1133183
1341,2022-03-18,70.2,70.2,70.1,71.0,39934,2806360
1342,2022-03-18,60.7,61.2,60.7,61.4,33000,2015200
1402,2022-03-18,30.6,30.7,30.3,30.75,12118124,370709765
1409,2022-03-18,21.1,21.2,21.1,21.3,4454973,94452861
1410,2022-03-18,36.65,36.5,36.5,37.25,204864,7563009
1413,2022-03-18,10.65,10.65,10.55,10.7,42320,449541
1414,2022-03-18,17.7,17.65,17.6,17.75,189582,3348782
1416,2022-03-18,11.55,11.55,11.5,11.6,84615,975735
1417,2022-03-18,13.95,13.9,13.85,14.0,106559,1481818
1418,2022-03-18,15.6,15.5,15.3,15.6,7883,121899
1419,2022-03-18,43.0,42.7,42.7,43.0,49144,2100797
1423,2022-03-18,20.0,19.9,19.9,20.0,6808,135658
1432,2022-03-18,14.5,14.75,14.0,14.75,7252886,106175335
1434,2022-03-18,28.05,28.05,27.9,28.15,22008838,617352937
1435,2022-03-18,57.6,54.3,53.0,57.6,135707,7476165
1436,2022-03-18,57.6,58.8,57.6,59.0,84975,4961019
1437,2022-03-18,28.5,28.15,27.7,28.75,2068883,58280204
1438,2022-03-18,30.35,30.35,30.3,30.5,31068,943011
1439,2022-03-18,22.75,23.0,22.75,23.5,85141,1964736
1440,2022-03-18,23.45,23.45,23.25,23.5,2087038,48844540
1441,2022-03-18,8.52,8.52,8.5,8.53,61963,527549
1442,2022-03-18,22.7,23.1,22.7,23.1,136309,3131421
1443,2022-03-18,15.6,15.8,15.5,15.8,13466,210045
1444,2022-03-18,10.25,10.35,10.2,10.4,2048068,21116193
1445,2022-03-18,16.2,16.05,16.0,16.2,43195,695812
1446,2022-03-18,31.5,31.4,31.4,31.5,29000,912000
1447,2022-03-18,9.22,9.23,9.22,9.28,551089,5095202
1449,2022-03-18,13.5,13.5,13.05,13.8,96686,1293375
1451,2022-03-18,20.25,20.45,20.25,20.6,120720,2475463
1452,2022-03-18,24.5,24.45,24.4,24.55,219286,5367181
1453,2022-03-18,8.51,8.56,8.51,8.6,6650,56891
1454,2022-03-18,14.85,14.75,14.6,14.85,84410,1236052
1455,2022-03-18,16.2,16.25,16.2,16.4,3663811,59699464
1456,2022-03-18,20.5,20.55,20.15,20.55,25000,509350
1457,2022-03-18,19.0,19.2,19.0,19.2,561457,10744325
1459,2022-03-18,12.1,11.95,11.95,12.15,106027,1275524
1460,2022-03-18,8.25,8.54,8.24,8.55,1976894,16613097
1463,2022-03-18,13.75,13.65,13.65,13.8,32086,438491
1464,2022-03-18,15.15,15.35,15.15,15.35,294135,4490095
1465,2022-03-18,12.35,12.35,12.35,12.4,14363,177981
1466,2022-03-18,14.9,14.8,14.8,14.9,126365,1874121
1467,2022-03-18,14.3,14.15,14.05,14.3,213522,3018773
1468,2022-03-18,12.05,12.25,11.9,12.3,45002,542324
1470,2022-03-18,23.0,23.7,22.3,24.5,140700,3358926
1471,2022-03-18,7.15,7.29,7.13,7.29,352661,2534191
1472,2022-03-18,,,,,42,1092
1473,2022-03-18,18.45,18.45,18.4,18.45,41800,770306
1474,2022-03-18,15.2,15.15,15.1,15.2,231043,3493056
1475,2022-03-18,62.1,62.3,62.0,62.3,24082,1496684
1476,2022-03-18,439.0,450.0,434.0,452.5,1728087,771957408
1477,2022-03-18,196.5,196.0,195.0,198.5,720215,141785097
1503,2022-03-18,52.0,52.3,52.0,52.4,23101,1204481
1504,2022-03-18,29.9,30.15,29.55,30.15,5703273,170646504
1506,2022-03-18,13.9,13.8,13.8,13.9,123433,1708772
1507,2022-03-18,64.8,64.6,64.6,64.8,71889,4652657
1512,2022-03-18,4.08,4.12,4.08,4.12,35008,143442
1513,2022-03-18,50.7,50.8,49.4,52.0,20334862,1032425176
1514,2022-03-18,26.5,27.0,26.45,27.1,3791446,101493551
1515,2022-03-18,44.15,45.45,44.15,45.45,1765983,79408870
1516,2022-03-18,24.8,25.3,24.8,25.3,563189,14172371
1517,2022-03-18,23.95,24.4,23.8,24.45,572166,13833618
1519,2022-03-18,40.85,40.9,40.8,41.75,1234311,50803793
1521,2022-03-18,39.75,39.0,38.85,39.75,16000,623800
1522,2022-03-18,18.0,18.15,18.0,18.15,135115,2439854
1524,2022-03-18,10.3,10.3,10.25,10.35,229627,2364008
1525,2022-03-18,59.9,59.5,58.9,59.9,25000,1490100
1526,2022-03-18,48.2,48.2,48.15,48.75,169392,8214411
1527,2022-03-18,41.1,41.3,41.05,41.35,188343,7767396
1528,2022-03-18,9.68,9.73,9.6,9.8,444275,4291587
1529,2022-03-18,23.3,23.4,23.1,24.3,3771024,88948895
