資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20220408,000815,1,0,0,0.00
20220408,000815,2,0,0,0.00
20220408,000815,3,0,0,0.00
20220408,000815,4,0,0,0.00
20220408,000815,5,0,0,0.00
20220408,000815,6,0,0,0.00
20220408,000815,7,0,0,0.00
20220408,000815,8,0,0,0.00
20220408,000815,9,0,0,0.00
20220408,000815,10,0,0,0.00
20220408,000815,11,0,0,0.00
20220408,000815,12,0,0,0.00
20220408,000815,13,0,0,0.00
20220408,000815,14,0,0,0.00
20220408,000815,15,1,692412444,100.00
20220408,000815,16,0,0,0.00
20220408,000815,17,1,692412444,100.00
20220408,0050,1,294523,72164044,4.56
20220408,0050,2,175912,337138708,21.33
20220408,0050,3,17951,133359845,8.44
20220408,0050,4,4898,61468058,3.89
20220408,0050,5,2348,42170825,2.66
20220408,0050,6,2004,50093941,3.17
20220408,0050,7,819,28967604,1.83
20220408,0050,8,406,18646672,1.18
20220408,0050,9,654,45770750,2.89
20220408,0050,10,226,30624000,1.93
20220408,0050,11,78,22607305,1.43
20220408,0050,12,29,14466470,0.91
20220408,0050,13,15,10706000,0.67
20220408,0050,14,11,9970000,0.63
20220408,0050,15,67,701845778,44.42
20220408,0050,16,0,0,0.00
20220408,0050,17,499941,1580000000,100.00
20220408,0051,1,2487,537112,3.97
20220408,0051,2,2846,5064588,37.51
20220408,0051,3,198,1512790,11.20
20220408,0051,4,52,641946,4.75
20220408,0051,5,38,708030,5.24
20220408,0051,6,17,445942,3.30
20220408,0051,7,10,350286,2.59
20220408,0051,8,7,333825,2.47
20220408,0051,9,9,604000,4.47
20220408,0051,10,6,789000,5.84
20220408,0051,11,2,605481,4.48
20220408,0051,12,1,479000,3.54
20220408,0051,13,2,1428000,10.57
20220408,0051,14,0,0,0.00
20220408,0051,15,0,0,0.00
20220408,0051,16,0,0,0.00
20220408,0051,17,5675,13500000,100.00
20220408,0052,1,9268,2283494,3.80
20220408,0052,2,5003,8951597,14.91
20220408,0052,3,345,2612854,4.35
20220408,0052,4,90,1114381,1.85
20220408,0052,5,42,750396,1.25
20220408,0052,6,27,660825,1.10
20220408,0052,7,10,360492,0.60
20220408,0052,8,4,179000,0.29
20220408,0052,9,8,582000,0.97
20220408,0052,10,5,808000,1.34
20220408,0052,11,4,1316765,2.19
20220408,0052,12,6,2876894,4.79
20220408,0052,13,3,2255000,3.75
20220408,0052,14,3,2708000,4.51
20220408,0052,15,7,32540302,54.23
20220408,0052,16,0,0,0.00
20220408,0052,17,14825,60000000,100.00
20220408,0053,1,393,70351,1.41
20220408,0053,2,725,1370859,27.48
20220408,0053,3,81,687717,13.78
20220408,0053,4,13,169000,3.38
20220408,0053,5,15,289000,5.79
20220408,0053,6,4,112000,2.24
20220408,0053,7,1,40000,0.80
20220408,0053,8,2,100000,2.00
20220408,0053,9,3,184000,3.68
20220408,0053,10,2,228000,4.57
20220408,0053,11,2,519073,10.40
20220408,0053,12,0,0,0.00
20220408,0053,13,0,0,0.00
20220408,0053,14,0,0,0.00
20220408,0053,15,1,1218000,24.41
20220408,0053,16,0,0,0.00
20220408,0053,17,1242,4988000,100.00
20220408,0054,1,286,56334,0.91
20220408,0054,2,673,1336655,21.82
